pred_H_params,surrogate_H_params,target_H_params,sigma_for_gauss,simulation_time,Sample
"{'qubit_frequency_GHz': 6.651312344170804, 'anharmonicity_MHz': -444.9133075288785}","{'qubit_frequency_GHz': 6.55461, 'anharmonicity_MHz': -429.767}","{'qubit_frequency_GHz': 6.35263, 'anharmonicity_MHz': -399.198}",5.0,82.7355060998816,22
"{'qubit_frequency_GHz': 4.1424919502330155, 'anharmonicity_MHz': -153.03813687035728}","{'qubit_frequency_GHz': 4.11402, 'anharmonicity_MHz': -150.598}","{'qubit_frequency_GHz': 4.10313, 'anharmonicity_MHz': -149.894}",5.0,92.82380419992842,23
"{'qubit_frequency_GHz': 3.2607468742750534, 'anharmonicity_MHz': -91.45930671723335}","{'qubit_frequency_GHz': 3.20331, 'anharmonicity_MHz': -87.5628}","{'qubit_frequency_GHz': 3.2637, 'anharmonicity_MHz': -91.6358}",5.0,138.84497720003128,24
"{'qubit_frequency_GHz': 19.04879268733727, 'anharmonicity_MHz': -12313.420707004141}","{'qubit_frequency_GHz': 5.75779, 'anharmonicity_MHz': -318.61}","{'qubit_frequency_GHz': 5.26372, 'anharmonicity_MHz': -259.674}",5.0,213.72473790007643,25
"{'qubit_frequency_GHz': 3.3460110822758793, 'anharmonicity_MHz': -96.63217240723654}","{'qubit_frequency_GHz': 3.28806, 'anharmonicity_MHz': -93.3581}","{'qubit_frequency_GHz': 3.2221, 'anharmonicity_MHz': -89.1677}",5.0,132.1654688999988,26
"{'qubit_frequency_GHz': 3.6039937413941434, 'anharmonicity_MHz': -113.27844604424975}","{'qubit_frequency_GHz': 3.54102, 'anharmonicity_MHz': -108.839}","{'qubit_frequency_GHz': 3.53098, 'anharmonicity_MHz': -108.414}",5.0,137.44036629982293,27
"{'qubit_frequency_GHz': 4.105221757058651, 'anharmonicity_MHz': -150.06027025806645}","{'qubit_frequency_GHz': 4.04456, 'anharmonicity_MHz': -144.851}","{'qubit_frequency_GHz': 4.03405, 'anharmonicity_MHz': -144.469}",5.0,120.92333079990931,28
"{'qubit_frequency_GHz': 3.5082972214211736, 'anharmonicity_MHz': -106.9272745007801}","{'qubit_frequency_GHz': 3.46613, 'anharmonicity_MHz': -103.742}","{'qubit_frequency_GHz': 3.5967, 'anharmonicity_MHz': -112.787}",5.0,140.2608211999759,29
"{'qubit_frequency_GHz': 3.592281341883581, 'anharmonicity_MHz': -112.48982568002752}","{'qubit_frequency_GHz': 3.52895, 'anharmonicity_MHz': -108.028}","{'qubit_frequency_GHz': 3.54363, 'anharmonicity_MHz': -109.248}",10.0,135.44792399997823,30
"{'qubit_frequency_GHz': 3.7450736440086274, 'anharmonicity_MHz': -123.02778380332136}","{'qubit_frequency_GHz': 3.76316, 'anharmonicity_MHz': -124.435}","{'qubit_frequency_GHz': 3.5967, 'anharmonicity_MHz': -112.787}",10.0,132.06197180016898,31
"{'qubit_frequency_GHz': 3.6944392857636146, 'anharmonicity_MHz': -119.475305760389}","{'qubit_frequency_GHz': 3.62987, 'anharmonicity_MHz': -114.988}","{'qubit_frequency_GHz': 3.89026, 'anharmonicity_MHz': -133.55}",10.0,104.52882390003651,32
"{'qubit_frequency_GHz': 3.297013730136296, 'anharmonicity_MHz': -93.6398724033296}","{'qubit_frequency_GHz': 3.24681, 'anharmonicity_MHz': -90.6125}","{'qubit_frequency_GHz': 3.44898, 'anharmonicity_MHz': -103.096}",10.0,127.35777709982358,33
"{'qubit_frequency_GHz': 4.14006890561399, 'anharmonicity_MHz': -152.8434895157904}","{'qubit_frequency_GHz': 4.04179, 'anharmonicity_MHz': -144.734}","{'qubit_frequency_GHz': 4.11319, 'anharmonicity_MHz': -150.694}",10.0,114.52750349999405,34
"{'qubit_frequency_GHz': 3.5387589588965334, 'anharmonicity_MHz': -108.92619334936526}","{'qubit_frequency_GHz': 3.47675, 'anharmonicity_MHz': -104.393}","{'qubit_frequency_GHz': 3.53098, 'anharmonicity_MHz': -108.414}",10.0,226.46757810004056,35
"{'qubit_frequency_GHz': 4.3236632567940205, 'anharmonicity_MHz': -168.00892578712734}","{'qubit_frequency_GHz': 4.31362, 'anharmonicity_MHz': -166.637}","{'qubit_frequency_GHz': 4.18588, 'anharmonicity_MHz': -156.548}",10.0,92.24143519997597,36
"{'qubit_frequency_GHz': 5.066350514259753, 'anharmonicity_MHz': -238.3882170485947}","{'qubit_frequency_GHz': 4.93131, 'anharmonicity_MHz': -225.385}","{'qubit_frequency_GHz': 5.25617, 'anharmonicity_MHz': -258.838}",10.0,210.88367569982074,37
"{'qubit_frequency_GHz': 5.679437826480342, 'anharmonicity_MHz': -308.3355214251036}","{'qubit_frequency_GHz': 5.6632, 'anharmonicity_MHz': -306.168}","{'qubit_frequency_GHz': 5.44074, 'anharmonicity_MHz': -279.744}",10.0,76.12040390004404,38
