Sample,pred_H_params,ref_H_params,simulation_time
34,"{'qubit_frequency_GHz': 3.8067203598728483, 'anharmonicity_MHz': -127.43431651934323}","{'qubit_frequency_GHz': 3.7606227, 'anharmonicity_MHz': -124.13079}",99.33476240001619
35,"{'qubit_frequency_GHz': 3.809172030655585, 'anharmonicity_MHz': -127.61142147810034}","{'qubit_frequency_GHz': 3.7635794, 'anharmonicity_MHz': -124.341156}",98.59391400008462
36,"{'qubit_frequency_GHz': 3.8529358148257593, 'anharmonicity_MHz': -130.79688876964823}","{'qubit_frequency_GHz': 3.818712, 'anharmonicity_MHz': -128.30194}",115.47145229997113
37,"{'qubit_frequency_GHz': 3.5310823257713047, 'anharmonicity_MHz': -108.42045078258344}","{'qubit_frequency_GHz': 3.481471, 'anharmonicity_MHz': -105.184425}",122.58660460007377
38,"{'qubit_frequency_GHz': 4.038626851934964, 'anharmonicity_MHz': -144.82477543153573}","{'qubit_frequency_GHz': 4.03221, 'anharmonicity_MHz': -144.32603}",114.5348692999687
39,"{'qubit_frequency_GHz': 3.5933036938027882, 'anharmonicity_MHz': -112.55853681786654}","{'qubit_frequency_GHz': 3.5428216, 'anharmonicity_MHz': -109.19439}",100.75794679997489
40,"{'qubit_frequency_GHz': 3.544317391100684, 'anharmonicity_MHz': -109.29322842896738}","{'qubit_frequency_GHz': 3.4964867, 'anharmonicity_MHz': -106.15797}",126.55063720000908
41,"{'qubit_frequency_GHz': 4.811484434919617, 'anharmonicity_MHz': -212.5479608718095}","{'qubit_frequency_GHz': 4.8256927, 'anharmonicity_MHz': -213.94083}",98.6923527000472
42,"{'qubit_frequency_GHz': 3.8538423458879656, 'anharmonicity_MHz': -130.8633554515879}","{'qubit_frequency_GHz': 3.8197324, 'anharmonicity_MHz': -128.37592}",114.15444159996696
43,"{'qubit_frequency_GHz': 4.338789705562249, 'anharmonicity_MHz': -169.29645676460046}","{'qubit_frequency_GHz': 4.3604727, 'anharmonicity_MHz': -171.1523}",212.33293290017173
44,"{'qubit_frequency_GHz': 4.102144536114803, 'anharmonicity_MHz': -149.81593962793482}","{'qubit_frequency_GHz': 4.1050014, 'anharmonicity_MHz': -150.04277}",93.7377122999169
45,"{'qubit_frequency_GHz': 4.688848472759693, 'anharmonicity_MHz': -200.75476580337437}","{'qubit_frequency_GHz': 4.702015, 'anharmonicity_MHz': -202.00133}",84.13936550007202
46,"{'qubit_frequency_GHz': 3.5024136368129533, 'anharmonicity_MHz': -106.54362816923246}","{'qubit_frequency_GHz': 3.4478977, 'anharmonicity_MHz': -103.02624}",92.62971420004033
47,"{'qubit_frequency_GHz': 3.700860747328102, 'anharmonicity_MHz': -119.92250772991753}","{'qubit_frequency_GHz': 3.6486497, 'anharmonicity_MHz': -116.31429}",132.81625730008818
48,"{'qubit_frequency_GHz': 4.361050307582559, 'anharmonicity_MHz': -171.20187748802527}","{'qubit_frequency_GHz': 4.373267, 'anharmonicity_MHz': -172.253}",103.81852229987271
49,"{'qubit_frequency_GHz': 3.9170338808043965, 'anharmonicity_MHz': -135.5450309012909}","{'qubit_frequency_GHz': 3.891668, 'anharmonicity_MHz': -133.65427}",91.66997699998319
50,"{'qubit_frequency_GHz': 3.8552099452329536, 'anharmonicity_MHz': -130.9636646930059}","{'qubit_frequency_GHz': 3.8214226, 'anharmonicity_MHz': -128.49854}",112.60877069993876
51,"{'qubit_frequency_GHz': 4.336410813264351, 'anharmonicity_MHz': -169.0935831002758}","{'qubit_frequency_GHz': 4.3571854, 'anharmonicity_MHz': -170.87016}",154.96451200009324
