sample_idx,param,ref,pred,abs_error,sq_error
0,qubit_frequency_GHz,0.229409,0.228162,0.00124783,1.55708e-06
0,anharmonicity_MHz,0.858338,0.857579,0.000758264,5.74964e-07
1,qubit_frequency_GHz,0.189596,0.189399,0.000197364,3.89527e-08
1,anharmonicity_MHz,0.886036,0.885576,0.000460263,2.11842e-07
2,qubit_frequency_GHz,0.467938,0.463677,0.00426039,1.81509e-05
2,anharmonicity_MHz,0.662521,0.66463,0.00210862,4.44627e-06
