neurons_per_layer,depth,width,total_params,best_val_loss,best_epoch
"(512, 512)",2,512,267779,0.011999567039310932,373
"(512, 512, 512)",3,512,530435,0.012583276256918907,313
"(512, 512, 512, 512)",4,512,793091,0.01091349683701992,384
"(512, 512, 512, 512, 512)",5,512,1055747,0.011372861452400684,380
"(1024, 1024)",2,1024,1059843,0.014930862933397293,371
"(1024, 1024, 1024)",3,1024,2109443,0.01480414904654026,378
"(1024, 1024, 1024, 1024)",4,1024,3159043,0.015326648019254208,387
"(1024, 1024, 1024, 1024, 1024)",5,1024,4208643,0.013725841417908669,372
"(2048, 2048)",2,2048,4216835,0.01898941583931446,395
"(2048, 2048, 2048)",3,2048,8413187,0.019174516201019287,381
"(2048, 2048, 2048, 2048)",4,2048,12609539,0.021255701780319214,395
"(2048, 2048, 2048, 2048, 2048)",5,2048,16805891,0.020946046337485313,395
"(4096, 4096)",2,4096,16822275,0.026515236124396324,393
"(5000, 5000)",2,5000,25055003,0.029151320457458496,392
"(4096, 4096, 4096)",3,4096,33603587,0.029347939416766167,385
"(6000, 6000)",2,6000,36066003,0.03279637172818184,379
"(5000, 5000, 5000)",3,5000,50060003,0.03232933208346367,393
"(4096, 4096, 4096, 4096)",4,4096,50384899,0.033942896872758865,399
"(4096, 4096, 4096, 4096, 4096)",5,4096,67166211,0.05152538791298866,396
"(6000, 6000, 6000)",3,6000,72072003,0.03707445040345192,390
"(5000, 5000, 5000, 5000)",4,5000,75065003,0.04458916559815407,389
"(5000, 5000, 5000, 5000, 5000)",5,5000,100070003,0.06672752648591995,395
"(6000, 6000, 6000, 6000)",4,6000,108078003,0.057373423129320145,390
"(6000, 6000, 6000, 6000, 6000)",5,6000,144084003,0.10264141112565994,396
