data_augmentation,model_shape,encoding_type,test_loss,train_loss,train_dropout_rate,train_early_stop_patience,train_batch_size,train_val_split,lr_initial,lr_decay_step,lr_decay_rate,lr_stair_case
True,mlp_6_264_964_764_664_4,one hot,0.12307295203208923,mae,0,60,64,0.15/0.15,0.0007026341305552234,100,0.99,False
True,mlp_6_264_964_764_664_4,one hot,0.1480066180229187,mae,0,60,32,0.15/0.15,0.0007026341305552234,200,0.99,False
True,mlp_6_264_964_764_664_4,one hot,0.1433546096086502,mae,0,60,100,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_264_964_764_664_4,one hot,0.1401468962430954,mae,0,60,40,0.15/0.15,0.0007026341305552234,160,0.99,False
True,mlp_6_264_964_764_664_4,one hot,0.12343748658895493,mae,0,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_1024_1024_1024_4,one hot,0.13425306975841522,mae,0,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_2000_2000_4,one hot,0.16227120161056519,mae,0,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_1000_1000_4,one hot,0.15777979791164398,mae,0,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_1000_1000_4,one hot,0.22583156824111938,mae,0,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_1000_1000_4,one hot,0.15956498682498932,mae,0.1,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_1000_1000_4,one hot,0.15770480036735535,mae,0.1,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_1000_1000_4,one hot,0.16402962803840637,mae,0.2,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_264_964_764_664_4,one hot,0.12313035875558853,mae,0,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_264_964_764_664_13,one hot,0.11516252905130386,mae,0.3,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_264_464_364_364_864_13,one hot,0.10669470578432083,mae,0.06,60,90,0.15/0.15,0.00092875,80,0.99,False
True,mlp_6_264_964_764_664_13,one hot,0.11429695785045624,mae,0.3,60,90,0.15/0.15,0.0007026341305552234,80,0.99,False
True,mlp_6_264_464_364_364_864_13,one hot,0.1060650423169136,mae,0.06,60,90,0.15/0.15,0.00092875,80,0.99,False
