sample_idx,param,ref_unscaled,pred_unscaled,abs_error_unscaled,sq_error_unscaled
15,top_to_bottom,15.0366,13.3085,1.72804,2.98611
15,top_to_ground,21.2154,21.6755,0.460031,0.211628
15,bottom_to_bottom,60.0026,56.1099,3.89263,15.1525
15,bottom_to_ground,44.4226,42.1718,2.25079,5.06605
15,ground_to_ground,100.278,98.6591,1.61869,2.62016
16,top_to_top,24.8033,24.2868,0.516572,0.266846
16,top_to_bottom,7.54392,6.1984,1.34552,1.81043
16,top_to_ground,17.0105,17.6349,0.624436,0.38992
16,bottom_to_bottom,32.7926,31.3728,1.41986,2.016
16,bottom_to_ground,24.9832,24.8255,0.157748,0.0248845
16,ground_to_ground,74.9881,74.8977,0.0903778,0.00816815
17,top_to_top,72.0976,69.0239,3.07367,9.44743
17,top_to_bottom,42.2832,41.4076,0.875607,0.766688
17,top_to_ground,29.256,29.6104,0.354407,0.125604
17,bottom_to_bottom,101.787,106.342,4.5546,20.7444
17,bottom_to_ground,58.9608,64.7054,5.74455,32.9999
17,ground_to_ground,124.897,127.874,2.97691,8.862
18,top_to_top,54.6533,53.9091,0.744151,0.553761
18,top_to_bottom,25.69,26.2984,0.608378,0.370123
18,top_to_ground,28.4341,28.2212,0.212913,0.0453319
18,bottom_to_bottom,77.7641,80.4216,2.65749,7.06224
18,bottom_to_ground,51.5231,53.5765,2.05337,4.21631
18,ground_to_ground,115.57,115.636,0.0655666,0.00429898
19,top_to_top,69.2447,65.8107,3.43404,11.7926
19,top_to_bottom,32.5539,33.2213,0.667428,0.44546
19,top_to_ground,36.2387,35.0564,1.18227,1.39777
19,bottom_to_bottom,110.064,112.782,2.71771,7.38597
19,bottom_to_ground,76.5153,79.7198,3.20445,10.2685
19,ground_to_ground,150.91,147.302,3.6082,13.0191
20,top_to_top,25.4846,26.1453,0.660692,0.436514
20,top_to_bottom,7.16345,7.00402,0.159432,0.0254185
20,top_to_ground,18.0283,18.7088,0.680531,0.463123
20,bottom_to_bottom,38.1388,37.3289,0.809911,0.655956
20,bottom_to_ground,30.6713,29.8898,0.781466,0.610689
20,ground_to_ground,82.1211,81.7008,0.420254,0.176614
21,top_to_top,52.6078,50.5667,2.04111,4.16613
21,top_to_bottom,22.0459,22.8273,0.781387,0.610566
21,top_to_ground,30.0673,28.1147,1.95264,3.8128
21,bottom_to_bottom,65.5987,70.75,5.15133,26.5362
21,bottom_to_ground,43.1238,47.7158,4.592,21.0865
21,ground_to_ground,108.448,108.484,0.0362766,0.00131599
22,top_to_top,20.1525,19.4181,0.734433,0.539392
22,top_to_bottom,1.4474,2.43086,0.983462,0.967198
22,top_to_ground,18.4678,16.3211,2.14679,4.60869
22,bottom_to_bottom,18.4928,20.5642,2.07145,4.29089
22,bottom_to_ground,16.7854,18.684,1.89865,3.60487
22,ground_to_ground,66.963,66.9221,0.0408809,0.00167124
23,top_to_top,19.0427,19.8727,0.830005,0.688909
23,top_to_bottom,3.07264,3.71819,0.645547,0.416731
23,top_to_ground,15.7242,15.6551,0.069093,0.00477384
23,bottom_to_bottom,22.1755,23.5632,1.38767,1.92562
23,bottom_to_ground,18.8353,19.6096,0.774349,0.599616
23,ground_to_ground,66.3554,67.0522,0.696745,0.485453
24,top_to_top,18.1739,18.3591,0.185166,0.0342863
24,top_to_bottom,0.73958,2.30931,1.56973,2.46406
24,top_to_ground,17.1851,15.4543,1.73077,2.99556
24,bottom_to_bottom,15.6968,18.9377,3.24092,10.5036
24,bottom_to_ground,14.7074,17.0932,2.38573,5.69173
24,ground_to_ground,63.2526,64.2151,0.96248,0.926368
25,top_to_top,64.2299,61.5822,2.64774,7.01051
