neurons_per_layer,total_params,best_val_loss,best_epoch
"[64, 64, 64]",9028,0.20523008704185486,216
"[256, 256, 256]",134404,0.16997747123241425,399
"[500, 500, 500]",506504,0.14594468474388123,395
"[1024, 1024, 1024]",2110468,0.13830038905143738,385
"[1800, 1800, 1800]",6503404,0.1413007527589798,396
"[3500, 3500, 3500]",24545504,0.15459226071834564,390
