neurons_per_layer,total_params,best_val_loss,best_epoch
[64],708,0.2376435250043869,400
[256],2820,0.20683887600898743,381
[500],5504,0.2057778686285019,259
[1024],11268,0.20858141779899597,398
[1800],19804,0.20987044274806976,391
[3500],38504,0.21765507757663727,355
