neurons_per_layer,depth,width,total_params,best_val_loss,best_epoch
"(64, 64, 64, 64, 64, 64)",6,64,22682,0.040505435317754745,278
"(64, 64, 64, 64, 64, 64, 64)",7,64,26842,0.04157526046037674,217
"(256, 256, 256, 256, 256, 256)",6,256,336410,0.03853769227862358,301
"(256, 256, 256, 256, 256, 256, 256)",7,256,402202,0.03671950101852417,324
"(1024, 1024, 1024, 1024, 1024, 1024)",6,1024,5277722,0.04027928039431572,377
"(1024, 1024, 1024, 1024, 1024, 1024, 1024)",7,1024,6327322,0.05047522112727165,296
"(4096, 4096, 4096, 4096, 4096, 4096)",6,4096,84025370,0.7939521670341492,160
"(4096, 4096, 4096, 4096, 4096, 4096, 4096)",7,4096,100806682,0.8251517415046692,381
