sample_number,sigma_multiplier,sigma_for_gauss,test_set_index_as_gauss_mean,nearest_test_set_index_for_target,design_options.connection_pads.readout.claw_length,design_options.connection_pads.readout.ground_spacing,design_options.cross_length,surrogate_pred_cross_to_ground,surrogate_pred_claw_to_ground,surrogate_pred_cross_to_claw,surrogate_pred_cross_to_cross,surrogate_pred_claw_to_claw,surrogate_pred_ground_to_ground,target_cross_to_ground,target_claw_to_ground,target_cross_to_claw,target_cross_to_cross,target_claw_to_claw,target_ground_to_ground
1,-1.7284,40,-1,282,0.0004,4.3399e-06,0.000211991,81.9662,162.73,21.2086,81.564,183.88,295.45,126.268,110.516,7.85452,126.268,118.952,292.663
2,-1.54646,40,-1,282,0.000382632,4.62517e-06,0.000216519,89.146,159.427,19.8026,88.657,179.255,300.194,126.268,110.516,7.85452,126.268,118.952,292.663
3,-1.36453,40,-1,282,0.000365263,4.91045e-06,0.000221046,96.2614,156.141,18.4248,95.7457,174.65,304.573,126.268,110.516,7.85452,126.268,118.952,292.663
4,-1.18259,40,-1,282,0.000347895,5.19572e-06,0.000225573,101.7,151.628,16.9841,101.073,168.765,305.956,126.268,110.516,7.85452,126.268,118.952,292.663
5,-1.00065,40,-1,282,0.000330526,5.48099e-06,0.0002301,106.505,146.387,15.4956,105.822,162.087,306.068,126.268,110.516,7.85452,126.268,118.952,292.663
6,-0.818715,40,-1,282,0.000313158,5.76627e-06,0.000234628,111.152,141.16,14.0044,110.461,155.421,306.117,126.268,110.516,7.85452,126.268,118.952,292.663
7,-0.636779,40,-1,282,0.000295789,6.05154e-06,0.000239155,115.647,135.967,12.5188,114.991,148.822,306.103,126.268,110.516,7.85452,126.268,118.952,292.663
8,-0.454842,40,-1,282,0.000278421,6.33682e-06,0.000243682,119.852,130.751,11.0742,119.404,142.276,305.715,126.268,110.516,7.85452,126.268,118.952,292.663
9,-0.272905,40,-1,282,0.000261053,6.62209e-06,0.000248209,123.979,125.517,9.64571,123.806,135.725,305.193,126.268,110.516,7.85452,126.268,118.952,292.663
10,-0.0909684,40,-1,282,0.000243684,6.90736e-06,0.000252736,127.789,120.439,8.27293,127.724,129.32,304.466,126.268,110.516,7.85452,126.268,118.952,292.663
11,0.0909684,40,-1,282,0.000226316,7.19264e-06,0.000257264,131.36,115.298,7.00098,131.313,122.894,303.453,126.268,110.516,7.85452,126.268,118.952,292.663
12,0.272905,40,-1,282,0.000208947,7.47791e-06,0.000261791,134.778,109.616,6.09078,134.72,116.231,301.79,126.268,110.516,7.85452,126.268,118.952,292.663
13,0.454842,40,-1,282,0.000191579,7.76318e-06,0.000266318,138.008,103.73,5.39079,137.943,109.624,299.63,126.268,110.516,7.85452,126.268,118.952,292.663
14,0.636779,40,-1,282,0.000174211,8.04846e-06,0.000270845,141.081,97.7662,4.77734,141.023,103.012,297.216,126.268,110.516,7.85452,126.268,118.952,292.663
15,0.818715,40,-1,282,0.000156842,8.33373e-06,0.000275372,144.236,91.7588,4.18848,144.221,96.359,294.876,126.268,110.516,7.85452,126.268,118.952,292.663
16,1.00065,40,-1,282,0.000139474,8.61901e-06,0.0002799,147.423,85.7805,3.61549,147.443,89.768,292.619,126.268,110.516,7.85452,126.268,118.952,292.663
17,1.18259,40,-1,282,0.000122105,8.90428e-06,0.000284427,150.564,79.7551,3.09569,150.554,83.2049,290.205,126.268,110.516,7.85452,126.268,118.952,292.663
18,1.36453,40,-1,282,0.000104737,9.18955e-06,0.000288954,153.556,73.6569,2.58534,153.519,76.5853,287.575,126.268,110.516,7.85452,126.268,118.952,292.663
19,1.54646,40,-1,282,8.73684e-05,9.47483e-06,0.000293481,154.869,66.8458,2.07549,154.899,69.2467,282.494,126.268,110.516,7.85452,126.268,118.952,292.663
20,1.7284,40,-1,282,7e-05,9.7601e-06,0.000298009,155.801,60.0455,1.64022,155.796,61.9538,277.025,126.268,110.516,7.85452,126.268,118.952,292.663
